[2024-05-28 12:00:42,327] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-05-28 12:00:42,462] INFO [Controller id=0 epoch=3] Sending LeaderAndIsr request to broker 0 with 201 become-leader and 0 become-follower partitions (state.change.logger)
[2024-05-28 12:00:42,464] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 201 partitions (state.change.logger)
[2024-05-28 12:00:42,670] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 201 partitions (state.change.logger)
[2024-05-28 12:00:42,746] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 3 as part of the become-leader transition for 201 partitions (state.change.logger)
[2024-05-28 12:00:42,761] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,790] INFO [Broker id=0] Leader okx_api_perpetual_funding_btcfundperp-4 with topic id Some(RhRc5O0kR3qmxJvY45K3kQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,792] INFO [Broker id=0] Leader okx_api_perpetual_oi_btcoifutureperp-3 with topic id Some(zANIEv4eTimAP90c99BsHA) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,792] INFO [Broker id=0] Leader gateio_api_perpetual_oi_btcoifutureperp-1 with topic id Some(VvFKVxgBQ9moDf-R5NlePA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,817] INFO [Broker id=0] Leader htx_api_perpetual_funding_btcfundperp-2 with topic id Some(NS-JZsTeTGSFUDJBl23Rzg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,843] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,866] INFO [Broker id=0] Leader XBT_All_Streams-__assignor-__leader-0 with topic id Some(AQYdU4aCQ5yB5k4vi2VDaA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,889] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,912] INFO [Broker id=0] Leader okx_api_perpetual_oi_btcoifutureperp-2 with topic id Some(zANIEv4eTimAP90c99BsHA) starts at leader epoch 0 from offset 9 with partition epoch 0, high watermark 9, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,913] INFO [Broker id=0] Leader htx_api_perpetual_gta_btcposfutureperp-0 with topic id Some(QqxxyN-lSAyAA3tHerdHqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,935] INFO [Broker id=0] Leader gateio_api_perpetual_oi_btcoifutureperp-2 with topic id Some(VvFKVxgBQ9moDf-R5NlePA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,958] INFO [Broker id=0] Leader bybit_api_perpetual_linear_funding_btcfundperp-0 with topic id Some(b-d5fGwqRdO-EJ_YcTrD_Q) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,958] INFO [Broker id=0] Leader okx_api_perpetual_gta_btc-0 with topic id Some(FXdxvyZ_T7a3lz7jxXuqNA) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,959] INFO [Broker id=0] Leader bingx_api_perpetual_oi_btcusdt-4 with topic id Some(RkIt2NffQsWDPVWXJtK-cQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:42,981] INFO [Broker id=0] Leader bitget_api_perpetual_oi_BTCoifutureperp-0 with topic id Some(4sXyVlwAQPuVLZqcSIHkvQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
