days_left,strikes,prices,ois
1,58000.0,70000.0,1.18
1,60000.0,70000.0,0.02
1,62000.0,70000.0,0.1
1,64000.0,70000.0,0.15
1,67000.0,70000.0,4.11
1,68000.0,70000.0,3.19
1,72000.0,70000.0,1.67
1,74000.0,70000.0,3.45
1,78000.0,70000.0,1.71
1,80000.0,70000.0,8.04
1,84000.0,70000.0,5.76
8,15000.0,70000.0,2.25
8,19000.0,70000.0,0.01
8,20000.0,70000.0,13.83
8,24000.0,70000.0,0.01
8,25000.0,70000.0,22.61
8,26000.0,70000.0,2.8
8,30000.0,70000.0,3.36
8,31000.0,70000.0,12.85
8,32000.0,70000.0,2.04
8,33000.0,70000.0,3.54
8,34000.0,70000.0,1.5
8,35000.0,70000.0,14.71
8,36000.0,70000.0,4.0
8,37000.0,70000.0,8.57
8,38000.0,70000.0,6.55
8,39000.0,70000.0,16.5
8,40000.0,70000.0,38.57
8,41000.0,70000.0,108.55
8,42000.0,70000.0,115.07
8,43000.0,70000.0,117.82
8,44000.0,70000.0,92.2
8,45000.0,70000.0,136.7
8,46000.0,70000.0,73.51
8,47000.0,70000.0,48.65
8,48000.0,70000.0,52.88
8,49000.0,70000.0,11.14
8,50000.0,70000.0,166.19
8,51000.0,70000.0,30.21
8,52000.0,70000.0,32.66
8,53000.0,70000.0,46.4
8,54000.0,70000.0,22.99
8,55000.0,70000.0,114.64
8,56000.0,70000.0,51.26
8,57000.0,70000.0,25.61
8,58000.0,70000.0,29.16
8,60000.0,70000.0,137.82
8,65000.0,70000.0,168.04
8,70000.0,70000.0,197.6
8,75000.0,70000.0,159.45
8,80000.0,70000.0,159.76
8,85000.0,70000.0,104.02
8,90000.0,70000.0,85.52
8,95000.0,70000.0,64.48
8,100000.0,70000.0,39.69
8,105000.0,70000.0,46.91
8,110000.0,70000.0,28.86
8,115000.0,70000.0,44.44
8,120000.0,70000.0,92.06
36,40000.0,70000.0,49.91
36,50000.0,70000.0,222.68
36,54000.0,70000.0,62.42
36,58000.0,70000.0,14.06
36,67000.0,70000.0,30.57
36,70000.0,70000.0,47.61
36,78000.0,70000.0,57.59
36,82000.0,70000.0,48.74
36,90000.0,70000.0,263.68
36,105000.0,70000.0,12.62
71,54000.0,70000.0,43.5
71,70000.0,70000.0,2.05
71,75000.0,70000.0,0.27
71,80000.0,70000.0,0.76
71,84000.0,70000.0,0.58
71,95000.0,70000.0,4.26
71,110000.0,70000.0,7.6
99,26000.0,70000.0,0.02
99,27000.0,70000.0,0.03
99,30000.0,70000.0,0.88
99,31000.0,70000.0,2.01
99,33000.0,70000.0,1.14
99,34000.0,70000.0,2.64
99,35000.0,70000.0,6.34
99,36000.0,70000.0,5.64
99,37000.0,70000.0,4.14
99,38000.0,70000.0,4.5
99,39000.0,70000.0,6.0
99,41000.0,70000.0,7.5
99,42000.0,70000.0,6.0
99,43000.0,70000.0,1.5
99,44000.0,70000.0,6.0
99,45000.0,70000.0,10.0
99,46000.0,70000.0,19.5
99,47000.0,70000.0,19.08
99,48000.0,70000.0,14.5
99,49000.0,70000.0,12.99
99,50000.0,70000.0,13.17
99,51000.0,70000.0,12.99
99,52000.0,70000.0,11.06
99,53000.0,70000.0,5.33
99,54000.0,70000.0,6.8
99,55000.0,70000.0,7.54
99,56000.0,70000.0,6.48
99,57000.0,70000.0,4.67
99,58000.0,70000.0,6.0
99,59000.0,70000.0,4.5
99,60000.0,70000.0,9.5
99,65000.0,70000.0,7.13
99,70000.0,70000.0,2.53
99,75000.0,70000.0,3.98
99,80000.0,70000.0,5.19
99,85000.0,70000.0,1.28
99,90000.0,70000.0,2.17
99,95000.0,70000.0,10.02
99,100000.0,70000.0,2.05
99,105000.0,70000.0,4.22
99,110000.0,70000.0,1.83
99,115000.0,70000.0,4.5
99,120000.0,70000.0,3.93
99,125000.0,70000.0,1.14
99,130000.0,70000.0,1.14
99,140000.0,70000.0,0.83
99,160000.0,70000.0,76.01
190,35000.0,70000.0,0.01
190,38000.0,70000.0,0.07
190,41000.0,70000.0,1.38
190,43000.0,70000.0,0.02
190,44000.0,70000.0,0.05
190,48000.0,70000.0,0.01
190,49000.0,70000.0,0.1
190,50000.0,70000.0,0.01
190,52000.0,70000.0,0.45
190,53000.0,70000.0,0.07
190,55000.0,70000.0,0.03
190,56000.0,70000.0,0.01
190,58000.0,70000.0,0.01
190,59000.0,70000.0,0.05
190,60000.0,70000.0,1.08
190,61000.0,70000.0,0.02
190,62000.0,70000.0,0.05
190,63000.0,70000.0,0.02
190,65000.0,70000.0,1.01
190,70000.0,70000.0,0.18
190,75000.0,70000.0,0.08
190,80000.0,70000.0,0.03
190,85000.0,70000.0,0.02
190,90000.0,70000.0,1.5
190,95000.0,70000.0,0.04
190,100000.0,70000.0,0.34
190,105000.0,70000.0,0.53
190,110000.0,70000.0,0.18
190,115000.0,70000.0,0.39
190,120000.0,70000.0,0.21
190,125000.0,70000.0,0.13
190,130000.0,70000.0,0.02
190,135000.0,70000.0,0.48
190,140000.0,70000.0,1.59
190,160000.0,70000.0,8.43
281,65000.0,70000.0,5.0
281,70000.0,70000.0,5.03
281,90000.0,70000.0,6.92
281,110000.0,70000.0,0.02
281,160000.0,70000.0,0.04
281,200000.0,70000.0,0.04
281,220000.0,70000.0,0.01
