days_left,strikes,prices,ois
1,54000.0,68287.21129769,0.01
1,64000.0,68287.21129769,0.02
1,65000.0,68287.21129769,0.01
1,67000.0,68287.21129769,0.23
1,67500.0,68287.21129769,0.08
1,68000.0,68287.21129769,0.85
1,68500.0,68287.21129769,0.11
1,69000.0,68287.21129769,0.62
1,69500.0,68287.21129769,1.59
1,70000.0,68287.21129769,0.85
1,70500.0,68287.21129769,0.03
1,71500.0,68287.21129769,0.03
1,73500.0,68287.21129769,0.04
1,74500.0,68287.21129769,0.1
1,75000.0,68287.21129769,0.25
1,77000.0,68287.21129769,0.03
1,78000.0,68287.21129769,0.39
1,80000.0,68287.21129769,1.83
1,82000.0,68287.21129769,0.23
1,84000.0,68287.21129769,0.53
8,10000.0,68455.05764046,1.98
8,15000.0,68455.05764046,0.18
8,18000.0,68455.05764046,1.61
8,25000.0,68455.05764046,0.01
8,28000.0,68455.05764046,66.11
8,29000.0,68455.05764046,0.02
8,30000.0,68455.05764046,22.41
8,31000.0,68455.05764046,0.02
8,32000.0,68455.05764046,82.1
8,33000.0,68455.05764046,0.02
8,34000.0,68455.05764046,39.13
8,36000.0,68455.05764046,2.53
8,37000.0,68455.05764046,6.76
8,38000.0,68455.05764046,0.03
8,39000.0,68455.05764046,25.11
8,40000.0,68455.05764046,31.63
8,41000.0,68455.05764046,2.0
8,42000.0,68455.05764046,6.11
8,43000.0,68455.05764046,2.0
8,44000.0,68455.05764046,2.32
8,45000.0,68455.05764046,2.14
8,48000.0,68455.05764046,2.63
8,50000.0,68455.05764046,5.0
8,52000.0,68455.05764046,2.14
8,55000.0,68455.05764046,3.97
8,57000.0,68455.05764046,6.59
8,59000.0,68455.05764046,6.0
8,60000.0,68455.05764046,11.075
8,62500.0,68455.05764046,3.38
8,63000.0,68455.05764046,18.62
8,63500.0,68455.05764046,22.3
8,64000.0,68455.05764046,23.64
8,64500.0,68455.05764046,20.45
8,65000.0,68455.05764046,32.57
8,66000.0,68455.05764046,0.02
8,68000.0,68455.05764046,25.54
8,68500.0,68455.05764046,35.97
8,69000.0,68455.05764046,49.1
8,69500.0,68455.05764046,18.91
8,70000.0,68455.05764046,67.16
8,70500.0,68455.05764046,1.32
8,71000.0,68455.05764046,9.6
8,71500.0,68455.05764046,2.21
8,72000.0,68455.05764046,1.17
8,72500.0,68455.05764046,1.02
8,73000.0,68455.05764046,2.59
8,73500.0,68455.05764046,1.79
8,74000.0,68455.05764046,19.16
8,74500.0,68455.05764046,32.48
8,75000.0,68455.05764046,103.2
8,75500.0,68455.05764046,3.08
8,76500.0,68455.05764046,3.67
8,77500.0,68455.05764046,12.67
8,78500.0,68455.05764046,10.13
8,79000.0,68455.05764046,34.7
8,79500.0,68455.05764046,1.5
8,80000.0,68455.05764046,55.14
8,80500.0,68455.05764046,0.4
8,81500.0,68455.05764046,3.08
8,82000.0,68455.05764046,10.21
8,84000.0,68455.05764046,1.38
8,85000.0,68455.05764046,28.0
8,86000.0,68455.05764046,3.13
8,88000.0,68455.05764046,19.33
8,90000.0,68455.05764046,37.73
8,92000.0,68455.05764046,1.13
8,94000.0,68455.05764046,5.01
8,95000.0,68455.05764046,25.99
8,100000.0,68455.05764046,13.7
8,105000.0,68455.05764046,11.19
8,110000.0,68455.05764046,18.64
8,120000.0,68455.05764046,8.99
8,130000.0,68455.05764046,14.59
8,140000.0,68455.05764046,26.06
8,160000.0,68455.05764046,0.8
36,48000.0,69218.74374995,4.0
36,50000.0,69218.74374995,26.36
36,52000.0,69218.74374995,5.52
36,53000.0,69218.74374995,2.41
36,54000.0,69218.74374995,2.0
36,55000.0,69218.74374995,2.01
36,56000.0,69218.74374995,0.14
36,58000.0,69218.74374995,0.01
36,59000.0,69218.74374995,0.1
36,60000.0,69218.74374995,0.02
36,61000.0,69218.74374995,0.01
36,62000.0,69218.74374995,0.02
36,63000.0,69218.74374995,0.02
36,64000.0,69218.74374995,0.02
36,64500.0,69218.74374995,0.6
36,65000.0,69218.74374995,0.34
36,65500.0,69218.74374995,1.06
36,66000.0,69218.74374995,0.02
36,67000.0,69218.74374995,0.61
36,68000.0,69218.74374995,0.96
36,69000.0,69218.74374995,0.02
36,69500.0,69218.74374995,0.06
36,70000.0,69218.74374995,0.3
36,71000.0,69218.74374995,1.0
36,72000.0,69218.74374995,0.06
36,73000.0,69218.74374995,0.06
36,74000.0,69218.74374995,0.12
36,75000.0,69218.74374995,0.12
36,76000.0,69218.74374995,1.02
36,77000.0,69218.74374995,0.05
36,78000.0,69218.74374995,3.4
36,79000.0,69218.74374995,1.0
36,80000.0,69218.74374995,2.31
36,81000.0,69218.74374995,2.23
36,82000.0,69218.74374995,0.4
36,83000.0,69218.74374995,0.93
36,85000.0,69218.74374995,4.04
36,87000.0,69218.74374995,0.17
36,89000.0,69218.74374995,0.26
36,91000.0,69218.74374995,0.06
36,93000.0,69218.74374995,1.1
36,94000.0,69218.74374995,8.96
36,96000.0,69218.74374995,0.08
36,98000.0,69218.74374995,0.83
36,100000.0,69218.74374995,1.93
36,104000.0,69218.74374995,0.5
99,35000.0,70903.46722774,0.04
99,45000.0,70903.46722774,2.1
99,50000.0,70903.46722774,4.13
99,55000.0,70903.46722774,11.71
99,60000.0,70903.46722774,8.43
99,65000.0,70903.46722774,7.32
99,70000.0,70903.46722774,4.43
99,75000.0,70903.46722774,7.76
99,80000.0,70903.46722774,5.0
99,85000.0,70903.46722774,5.35
99,90000.0,70903.46722774,5.45
99,95000.0,70903.46722774,2.88
99,100000.0,70903.46722774,0.98
99,105000.0,70903.46722774,0.07
99,110000.0,70903.46722774,1.49
99,115000.0,70903.46722774,0.02
99,120000.0,70903.46722774,1.31
99,125000.0,70903.46722774,5.86
99,140000.0,70903.46722774,2.39
99,160000.0,70903.46722774,3.15
99,180000.0,70903.46722774,5.09
190,20000.0,73226.14580917,0.5
190,40000.0,73226.14580917,0.01
190,42000.0,73226.14580917,0.01
190,44000.0,73226.14580917,0.01
190,46000.0,73226.14580917,0.03
190,50000.0,73226.14580917,0.24
190,55000.0,73226.14580917,2.26
190,60000.0,73226.14580917,3.13
190,65000.0,73226.14580917,4.07
190,70000.0,73226.14580917,5.16
190,75000.0,73226.14580917,8.19
190,80000.0,73226.14580917,8.81
190,85000.0,73226.14580917,5.04
190,90000.0,73226.14580917,5.39
190,95000.0,73226.14580917,2.42
190,100000.0,73226.14580917,7.19
190,110000.0,73226.14580917,1.07
190,120000.0,73226.14580917,3.13
190,130000.0,73226.14580917,0.97
190,140000.0,73226.14580917,0.79
190,160000.0,73226.14580917,0.7
190,180000.0,73226.14580917,1.19
190,200000.0,73226.14580917,2.88
190,220000.0,73226.14580917,3.67
281,40000.0,75320.53256426,0.01
281,60000.0,75320.53256426,0.09
281,70000.0,75320.53256426,0.02
281,75000.0,75320.53256426,0.07
281,80000.0,75320.53256426,5.0
281,85000.0,75320.53256426,5.0
281,90000.0,75320.53256426,5.01
281,95000.0,75320.53256426,1.09
281,100000.0,75320.53256426,0.56
281,110000.0,75320.53256426,0.51
281,120000.0,75320.53256426,0.01
281,130000.0,75320.53256426,0.02
281,140000.0,75320.53256426,0.04
281,160000.0,75320.53256426,0.06
281,180000.0,75320.53256426,0.76
281,200000.0,75320.53256426,2.01
281,220000.0,75320.53256426,19.19
281,240000.0,75320.53256426,4.74
