days_left,strikes,prices,ois
1,45000.0,68677.75,25.0
1,64000.0,68677.75,25.1
1,70000.0,68677.75,10.0
1,80000.0,68677.75,0.2
1,90000.0,68677.75,0.1
8,10000.0,69069.95,500.2
8,15000.0,69069.77,994.2
8,20000.0,69069.77,1668.7
8,22000.0,69069.77,398.9
8,24000.0,69069.95,1325.9
8,25000.0,69069.77,1116.9
8,26000.0,69069.77,1328.3
8,28000.0,69069.77,898.8
8,30000.0,69069.77,1276.1
8,32000.0,69069.77,844.3
8,34000.0,69069.95,1192.0
8,35000.0,69069.95,978.3
8,36000.0,69069.77,1004.3
8,38000.0,69069.77,1266.2
8,40000.0,69069.77,661.1
8,42000.0,69069.95,442.9
8,44000.0,69069.77,455.2
8,45000.0,69069.77,1047.0
8,46000.0,69069.77,580.2
8,48000.0,69069.95,183.4
8,50000.0,69069.95,916.1
8,52000.0,69069.77,674.3
8,54000.0,69069.77,673.3
8,55000.0,69069.77,616.8
8,56000.0,69069.77,658.6
8,58000.0,69069.77,744.8
8,60000.0,69069.95,1561.3
8,62000.0,69069.95,2.8
8,64000.0,69069.95,447.9
8,65000.0,69069.77,375.4
8,66000.0,69069.95,0.4
8,68000.0,69069.95,53.4
8,70000.0,69069.77,534.8
8,72000.0,69069.77,13.7
8,74000.0,69069.77,15.3
8,75000.0,69069.77,389.7
8,78000.0,69069.77,10.7
8,80000.0,69069.77,1149.5
8,82000.0,69069.77,2.2
8,84000.0,69069.77,51.1
8,85000.0,69069.95,925.1
8,90000.0,69069.77,592.1
8,95000.0,69069.95,296.3
8,100000.0,69069.95,317.9
8,110000.0,69069.77,1108.2
8,120000.0,69069.77,1258.1
8,130000.0,69069.77,7.5
8,140000.0,69069.77,478.4
36,34000.0,70370.5423076923,75.0
36,40000.0,70372.47,55.0
36,44000.0,70372.47,0.2
36,45000.0,70372.31,117.6
36,48000.0,70372.31,0.3
36,54000.0,70372.31,62.5
36,55000.0,70372.47,38.2
36,56000.0,70372.47,1.1
36,57000.0,70372.47,0.1
36,58000.0,70372.47,0.2
36,59000.0,70372.47,0.6
36,60000.0,70372.31,0.7
36,61000.0,70372.47,0.3
36,62000.0,70372.47,0.3
36,63000.0,70372.31,2.1
36,64000.0,70372.47,11.6
36,65000.0,70372.47,1.1
36,66000.0,70372.31,2.5
36,67000.0,70372.47,86.1
36,68000.0,70372.47,2.2
36,69000.0,70372.31,4.8
36,70000.0,70372.47,9.5
36,71000.0,70372.47,0.6
36,72000.0,70372.47,6.6
