days_left,strikes,prices,ois
1,66000.0,70000.0,0.43
1,67000.0,70000.0,0.56
1,68000.0,70000.0,15.16
1,69000.0,70000.0,1.2
1,70000.0,70000.0,4.03
1,71000.0,70000.0,2.21
1,72000.0,70000.0,12.94
1,73000.0,70000.0,11.64
1,74000.0,70000.0,7.4
1,75000.0,70000.0,11.040000000000001
1,76000.0,70000.0,1.01
1,77000.0,70000.0,3.43
1,78000.0,70000.0,6.3
1,80000.0,70000.0,7.24
1,82000.0,70000.0,0.1
1,84000.0,70000.0,0.08
8,5000.0,70000.0,6.58
8,20000.0,70000.0,0.01
8,23000.0,70000.0,1.02
8,25000.0,70000.0,12.3
8,28000.0,70000.0,7.76
8,30000.0,70000.0,47.29
8,32000.0,70000.0,18.09
8,35000.0,70000.0,49.56
8,38000.0,70000.0,0.5
8,40000.0,70000.0,85.49
8,42000.0,70000.0,6.96
8,45000.0,70000.0,120.42
8,48000.0,70000.0,15.92
8,50000.0,70000.0,201.70000000000002
8,52000.0,70000.0,32.03
8,55000.0,70000.0,79.71000000000001
8,58000.0,70000.0,15.26
8,60000.0,70000.0,225.19
8,62000.0,70000.0,34.24
8,64000.0,70000.0,2.81
8,65000.0,70000.0,203.81
8,66000.0,70000.0,6.82
8,68000.0,70000.0,53.29
8,70000.0,70000.0,321.65000000000003
8,72000.0,70000.0,174.15
8,74000.0,70000.0,153.83
8,75000.0,70000.0,313.0
8,78000.0,70000.0,448.58
8,80000.0,70000.0,552.6800000000001
8,82000.0,70000.0,84.69
8,85000.0,70000.0,368.31
8,90000.0,70000.0,1798.46
8,95000.0,70000.0,275.73
8,100000.0,70000.0,335.93
8,110000.0,70000.0,241.42000000000002
8,120000.0,70000.0,145.13
8,130000.0,70000.0,111.86
8,140000.0,70000.0,107.96000000000001
8,150000.0,70000.0,82.96000000000001
36,45000.0,70000.0,0.1
36,50000.0,70000.0,0.01
36,52000.0,70000.0,0.51
36,55000.0,70000.0,0.74
36,58000.0,70000.0,2.92
36,60000.0,70000.0,16.09
36,62000.0,70000.0,4.3100000000000005
36,65000.0,70000.0,20.34
36,68000.0,70000.0,7.390000000000001
36,70000.0,70000.0,33.36
36,72000.0,70000.0,26.8
36,75000.0,70000.0,18.91
36,78000.0,70000.0,17.89
36,80000.0,70000.0,100.29
36,85000.0,70000.0,123.8
36,90000.0,70000.0,128.26
36,95000.0,70000.0,105.68
36,100000.0,70000.0,57.9
36,105000.0,70000.0,23.81
36,110000.0,70000.0,17.13
36,115000.0,70000.0,17.66
36,120000.0,70000.0,28.37
36,130000.0,70000.0,4.3100000000000005
36,140000.0,70000.0,30.310000000000002
36,150000.0,70000.0,26.89
36,160000.0,70000.0,20.09
71,68000.0,70000.0,2.41
71,70000.0,70000.0,11.31
71,72000.0,70000.0,2.85
71,74000.0,70000.0,6.94
71,76000.0,70000.0,10.91
71,78000.0,70000.0,7.26
71,80000.0,70000.0,12.36
71,85000.0,70000.0,30.95
71,90000.0,70000.0,12.290000000000001
71,95000.0,70000.0,28.21
71,100000.0,70000.0,32.53
71,105000.0,70000.0,20.7
71,110000.0,70000.0,15.69
71,120000.0,70000.0,14.19
71,130000.0,70000.0,4.13
99,5000.0,70000.0,0.15
99,10000.0,70000.0,0.04
99,20000.0,70000.0,0.13
99,25000.0,70000.0,0.25
99,30000.0,70000.0,14.26
99,35000.0,70000.0,27.080000000000002
99,38000.0,70000.0,0.05
99,40000.0,70000.0,56.35
99,42000.0,70000.0,0.5
99,45000.0,70000.0,2.29
99,50000.0,70000.0,17.77
99,52000.0,70000.0,0.41000000000000003
99,55000.0,70000.0,95.2
99,60000.0,70000.0,217.64000000000001
99,65000.0,70000.0,24.42
99,70000.0,70000.0,155.28
99,75000.0,70000.0,121.76
99,80000.0,70000.0,105.55
99,85000.0,70000.0,51.68
99,90000.0,70000.0,81.66
99,95000.0,70000.0,8.01
99,100000.0,70000.0,116.86
99,110000.0,70000.0,39.92
99,120000.0,70000.0,62.89
99,140000.0,70000.0,81.44
99,160000.0,70000.0,30.7
99,180000.0,70000.0,24.36
99,200000.0,70000.0,5.18
99,220000.0,70000.0,8.32
99,240000.0,70000.0,110.83
190,15000.0,70000.0,1.0
190,20000.0,70000.0,0.02
190,25000.0,70000.0,0.21
190,30000.0,70000.0,1.01
190,35000.0,70000.0,2.0
190,40000.0,70000.0,2.16
190,45000.0,70000.0,16.05
190,50000.0,70000.0,6.0
190,55000.0,70000.0,1.95
190,60000.0,70000.0,18.39
190,65000.0,70000.0,21.29
190,70000.0,70000.0,51.75
190,75000.0,70000.0,47.82
190,80000.0,70000.0,61.57
190,85000.0,70000.0,31.12
190,90000.0,70000.0,54.44
190,100000.0,70000.0,115.37
190,110000.0,70000.0,34.67
190,120000.0,70000.0,150.59
190,140000.0,70000.0,142.6
190,160000.0,70000.0,94.59
190,180000.0,70000.0,108.68
190,200000.0,70000.0,27.93
190,220000.0,70000.0,14.94
190,240000.0,70000.0,32.43
190,260000.0,70000.0,2.15
281,45000.0,70000.0,0.03
281,50000.0,70000.0,1.0
281,60000.0,70000.0,3.0500000000000003
281,70000.0,70000.0,9.09
281,80000.0,70000.0,25.080000000000002
281,90000.0,70000.0,6.84
281,100000.0,70000.0,65.52
281,110000.0,70000.0,10.790000000000001
281,120000.0,70000.0,5.73
281,130000.0,70000.0,40.32
281,140000.0,70000.0,14.24
281,150000.0,70000.0,9.82
281,160000.0,70000.0,5.82
281,180000.0,70000.0,4.94
281,200000.0,70000.0,37.24
281,220000.0,70000.0,17.92
281,240000.0,70000.0,23.73
281,260000.0,70000.0,8.950000000000001
281,280000.0,70000.0,11.42
281,300000.0,70000.0,1.1
281,320000.0,70000.0,0.51
281,340000.0,70000.0,0.01
281,360000.0,70000.0,0.45
281,380000.0,70000.0,10.450000000000001
281,420000.0,70000.0,0.52
281,440000.0,70000.0,0.01
281,460000.0,70000.0,30.0
281,480000.0,70000.0,35.0
281,500000.0,70000.0,70.0
281,520000.0,70000.0,50.01
281,560000.0,70000.0,27.09
