days_left,strikes,prices,ois
24,40000.0,70000.0,48.74
24,50000.0,70000.0,219.14
24,54000.0,70000.0,73.35
24,58000.0,70000.0,34.43
24,67000.0,70000.0,14.45
24,70000.0,70000.0,54.95
24,78000.0,70000.0,7.22
24,82000.0,70000.0,13.98
24,90000.0,70000.0,281.5
24,105000.0,70000.0,7.59
59,45000.0,70000.0,2.25
59,54000.0,70000.0,38.63
59,58000.0,70000.0,2.67
59,70000.0,70000.0,0.05
59,75000.0,70000.0,5.0
59,80000.0,70000.0,12.0
59,84000.0,70000.0,1.5
59,95000.0,70000.0,3.0
59,110000.0,70000.0,6.0
87,15000.0,70000.0,33.28
87,18000.0,70000.0,3.76
87,19000.0,70000.0,24.24
87,20000.0,70000.0,3.62
87,21000.0,70000.0,4.69
87,22000.0,70000.0,9.68
87,23000.0,70000.0,5.88
87,24000.0,70000.0,0.66
87,25000.0,70000.0,4.96
87,26000.0,70000.0,3.46
87,27000.0,70000.0,2.96
87,28000.0,70000.0,26.45
87,29000.0,70000.0,0.72
87,30000.0,70000.0,0.67
87,31000.0,70000.0,1.44
87,32000.0,70000.0,1.26
87,33000.0,70000.0,2.03
87,34000.0,70000.0,2.91
87,35000.0,70000.0,4.31
87,36000.0,70000.0,23.13
87,37000.0,70000.0,14.92
87,38000.0,70000.0,5.93
87,39000.0,70000.0,1.62
87,41000.0,70000.0,1.33
87,42000.0,70000.0,7.62
87,43000.0,70000.0,7.42
87,44000.0,70000.0,2.5
87,45000.0,70000.0,23.62
87,46000.0,70000.0,32.24
87,47000.0,70000.0,1.05
87,48000.0,70000.0,22.73
87,49000.0,70000.0,11.9
87,50000.0,70000.0,8.77
87,51000.0,70000.0,7.58
87,52000.0,70000.0,3.45
87,53000.0,70000.0,6.91
87,54000.0,70000.0,6.0
87,55000.0,70000.0,31.44
87,56000.0,70000.0,1.27
87,57000.0,70000.0,8.08
87,58000.0,70000.0,7.3
87,59000.0,70000.0,8.37
87,60000.0,70000.0,3.37
87,65000.0,70000.0,12.72
87,70000.0,70000.0,12.45
87,75000.0,70000.0,12.98
87,80000.0,70000.0,7.32
87,105000.0,70000.0,1.14
87,110000.0,70000.0,1.14
87,115000.0,70000.0,2.28
87,120000.0,70000.0,2.28
87,130000.0,70000.0,1.14
87,160000.0,70000.0,63.9
178,15000.0,70000.0,13.65
178,20000.0,70000.0,12.22
178,25000.0,70000.0,0.06
178,28000.0,70000.0,0.15
178,29000.0,70000.0,2.21
178,30000.0,70000.0,0.01
178,31000.0,70000.0,0.01
178,35000.0,70000.0,0.21
178,41000.0,70000.0,1.74
178,42000.0,70000.0,0.99
178,45000.0,70000.0,1.2
178,49000.0,70000.0,0.01
178,55000.0,70000.0,0.02
178,56000.0,70000.0,1.02
178,57000.0,70000.0,0.4
178,58000.0,70000.0,1.63
178,59000.0,70000.0,1.32
178,60000.0,70000.0,1.29
178,65000.0,70000.0,0.01
178,160000.0,70000.0,25.29
269,30000.0,70000.0,0.12
269,40000.0,70000.0,0.01
269,55000.0,70000.0,0.02
