days_left,strikes,prices,ois
1,54000.0,68287.21129769,0.05
1,56000.0,68287.21129769,1.4
1,58000.0,68287.21129769,4.57
1,60000.0,68287.21129769,3.75
1,62000.0,68287.21129769,0.96
1,63000.0,68287.21129769,9.14
1,64000.0,68287.21129769,0.97
1,65000.0,68287.21129769,0.1
1,68000.0,68287.21129769,0.25
1,68500.0,68287.21129769,0.1
1,69000.0,68287.21129769,0.1
1,70000.0,68287.21129769,0.1
1,70500.0,68287.21129769,0.03
8,10000.0,68455.05764046,134.52
8,15000.0,68455.05764046,9.18
8,18000.0,68455.05764046,6.0
8,19000.0,68455.05764046,14.07
8,20000.0,68455.05764046,18.62
8,21000.0,68455.05764046,6.0
8,22000.0,68455.05764046,3.0
8,23000.0,68455.05764046,3.0
8,24000.0,68455.05764046,2.15
8,25000.0,68455.05764046,13.02
8,26000.0,68455.05764046,2.07
8,27000.0,68455.05764046,5.18
8,28000.0,68455.05764046,1.0
8,29000.0,68455.05764046,2.02
8,30000.0,68455.05764046,29.16
8,31000.0,68455.05764046,3.52
8,32000.0,68455.05764046,1.53
8,33000.0,68455.05764046,5.66
8,34000.0,68455.05764046,2.4
8,35000.0,68455.05764046,3.12
8,36000.0,68455.05764046,1.69
8,37000.0,68455.05764046,11.57
8,38000.0,68455.05764046,9.8
8,39000.0,68455.05764046,7.32
8,40000.0,68455.05764046,19.19
8,41000.0,68455.05764046,8.66
8,42000.0,68455.05764046,13.42
8,43000.0,68455.05764046,7.86
8,44000.0,68455.05764046,25.44
8,45000.0,68455.05764046,33.89
8,46000.0,68455.05764046,1.6
8,47000.0,68455.05764046,3.9
8,48000.0,68455.05764046,15.32
8,49000.0,68455.05764046,0.8
8,50000.0,68455.05764046,31.12
8,51000.0,68455.05764046,5.87
8,52000.0,68455.05764046,15.6
8,53000.0,68455.05764046,4.03
8,54000.0,68455.05764046,5.03
8,55000.0,68455.05764046,15.06
8,56000.0,68455.05764046,4.36
8,57000.0,68455.05764046,23.36
8,58000.0,68455.05764046,6.47
8,59000.0,68455.05764046,9.82
8,60000.0,68455.05764046,40.46
8,61000.0,68455.05764046,4.54
8,62000.0,68455.05764046,16.82
8,62500.0,68455.05764046,7.94
8,63000.0,68455.05764046,10.2
8,63500.0,68455.05764046,23.03
8,64000.0,68455.05764046,16.29
8,64500.0,68455.05764046,21.25
8,65000.0,68455.05764046,47.65
8,66000.0,68455.05764046,15.6
8,67000.0,68455.05764046,3.93
8,68000.0,68455.05764046,0.98
8,68500.0,68455.05764046,9.91
8,69000.0,68455.05764046,12.93
8,69500.0,68455.05764046,1.23
8,70000.0,68455.05764046,26.47
8,70500.0,68455.05764046,2.69
8,71000.0,68455.05764046,2.16
8,71500.0,68455.05764046,0.22
8,72000.0,68455.05764046,0.69
8,72500.0,68455.05764046,0.69
8,73000.0,68455.05764046,5.57
8,74500.0,68455.05764046,0.01
8,75000.0,68455.05764046,7.54
8,75500.0,68455.05764046,0.01
8,76500.0,68455.05764046,0.03
8,77500.0,68455.05764046,0.04
8,78500.0,68455.05764046,0.01
8,80000.0,68455.05764046,23.25
8,85000.0,68455.05764046,1.75
8,90000.0,68455.05764046,27.94
8,95000.0,68455.05764046,16.02
8,100000.0,68455.05764046,9.13
8,110000.0,68455.05764046,16.13
8,120000.0,68455.05764046,0.01
8,140000.0,68455.05764046,0.01
36,40000.0,69218.74374995,1.23
36,46000.0,69218.74374995,7.09
36,48000.0,69218.74374995,0.28
36,50000.0,69218.74374995,6.83
36,52000.0,69218.74374995,4.44
36,53000.0,69218.74374995,0.03
36,54000.0,69218.74374995,0.8
36,55000.0,69218.74374995,0.68
36,56000.0,69218.74374995,7.14
36,57000.0,69218.74374995,0.63
36,58000.0,69218.74374995,4.41
36,59000.0,69218.74374995,3.4
36,60000.0,69218.74374995,6.23
36,61000.0,69218.74374995,1.5
36,62000.0,69218.74374995,1.9
36,62500.0,69218.74374995,3.0
36,63000.0,69218.74374995,1.5
36,64000.0,69218.74374995,4.04
36,64500.0,69218.74374995,1.0
36,65000.0,69218.74374995,21.22
36,65500.0,69218.74374995,2.95
36,66000.0,69218.74374995,5.02
36,67000.0,69218.74374995,0.1
36,67500.0,69218.74374995,2.0
36,68000.0,69218.74374995,5.5
36,68500.0,69218.74374995,1.0
36,69000.0,69218.74374995,1.19
36,70000.0,69218.74374995,1.3
36,71000.0,69218.74374995,1.1
36,73000.0,69218.74374995,0.01
36,75000.0,69218.74374995,0.11
36,76000.0,69218.74374995,1.0
36,80000.0,69218.74374995,0.24
36,85000.0,69218.74374995,2.0
36,87000.0,69218.74374995,2.0
36,91000.0,69218.74374995,2.0
36,93000.0,69218.74374995,2.0
36,94000.0,69218.74374995,2.0
36,100000.0,69218.74374995,2.0
99,10000.0,70903.46722774,84.12
99,15000.0,70903.46722774,1.01
99,20000.0,70903.46722774,2.28
99,25000.0,70903.46722774,0.11
99,30000.0,70903.46722774,0.44
99,35000.0,70903.46722774,48.65
99,40000.0,70903.46722774,0.24
99,45000.0,70903.46722774,4.95
99,50000.0,70903.46722774,2.47
99,55000.0,70903.46722774,2.16
99,60000.0,70903.46722774,1.05
99,65000.0,70903.46722774,1.27
99,70000.0,70903.46722774,5.15
99,75000.0,70903.46722774,0.21
99,80000.0,70903.46722774,2.0
99,85000.0,70903.46722774,5.12
99,90000.0,70903.46722774,13.5
99,95000.0,70903.46722774,2.0
99,100000.0,70903.46722774,2.06
99,105000.0,70903.46722774,2.0
99,110000.0,70903.46722774,2.0
99,115000.0,70903.46722774,2.0
99,125000.0,70903.46722774,10.0
190,15000.0,73226.14580917,0.15
190,20000.0,73226.14580917,1.23
190,25000.0,73226.14580917,0.05
190,28000.0,73226.14580917,0.07
190,30000.0,73226.14580917,0.2
190,32000.0,73226.14580917,0.06
190,34000.0,73226.14580917,0.03
190,36000.0,73226.14580917,0.49
190,38000.0,73226.14580917,10.19
190,40000.0,73226.14580917,2.21
190,42000.0,73226.14580917,0.13
190,44000.0,73226.14580917,0.12
190,46000.0,73226.14580917,1.16
190,48000.0,73226.14580917,0.22
190,50000.0,73226.14580917,15.51
190,52000.0,73226.14580917,0.05
190,55000.0,73226.14580917,1.11
190,60000.0,73226.14580917,1.12
190,65000.0,73226.14580917,0.39
190,70000.0,73226.14580917,5.22
190,75000.0,73226.14580917,5.13
190,80000.0,73226.14580917,1.64
190,90000.0,73226.14580917,0.06
190,95000.0,73226.14580917,0.1
190,100000.0,73226.14580917,0.04
190,120000.0,73226.14580917,2.98
190,130000.0,73226.14580917,0.02
190,140000.0,73226.14580917,0.01
190,160000.0,73226.14580917,0.04
190,180000.0,73226.14580917,0.01
281,20000.0,75320.53256426,0.55
281,40000.0,75320.53256426,0.1
281,60000.0,75320.53256426,1.22
281,70000.0,75320.53256426,0.89
281,75000.0,75320.53256426,0.16
281,80000.0,75320.53256426,0.41
281,95000.0,75320.53256426,0.07
281,120000.0,75320.53256426,0.02
281,140000.0,75320.53256426,0.02
281,200000.0,75320.53256426,0.01
281,220000.0,75320.53256426,0.01
