days_left,strikes,prices,ois
24,40000.0,70372.31,53.8
24,44000.0,70372.47,28.7
24,45000.0,70372.47,35.9
24,46000.0,70372.47,5.4
24,48000.0,70372.47,6.3
24,50000.0,70372.47,39.7
24,52000.0,70372.31,0.6
24,53000.0,70372.47,2.8
24,54000.0,70372.47,0.3
24,55000.0,70372.31,0.4
24,56000.0,70372.47,11.6
24,57000.0,70372.31,11.1
24,58000.0,70372.47,3.2
24,59000.0,70372.47,6.5
24,60000.0,70372.31,8.8
24,61000.0,70372.31,7.8
24,62000.0,70372.31,19.8
24,63000.0,70372.47,2.7
24,64000.0,70372.47,0.8
24,65000.0,70372.47,3.2
24,66000.0,70372.31,13.2
24,67000.0,70372.47,2.7
24,68000.0,70372.47,3.6
24,69000.0,70372.31,5.1
24,71000.0,70372.31,0.2
24,74000.0,70372.47,0.3
24,76000.0,70372.47,0.6
24,79000.0,70372.31,15.0
24,80000.0,70372.31,2.0
24,85000.0,70372.31,0.1
24,86000.0,70372.31,0.2
24,90000.0,70372.47,0.1
24,95000.0,70372.31,25.0
24,100000.0,70372.47,0.9
87,10000.0,73471.29,332.5
87,15000.0,73471.29,251.9
87,20000.0,73471.1,112.3
87,22000.0,73471.29,4638.3
87,24000.0,73471.29,267.5
87,25000.0,73471.29,191.1
87,26000.0,73471.29,262.3
87,28000.0,73471.29,311.7
87,30000.0,73471.29,4422.4
87,32000.0,73471.29,513.0
87,34000.0,73471.29,617.9
87,35000.0,73471.29,392.7
87,36000.0,73471.29,729.2
87,38000.0,73471.29,654.0
87,40000.0,73471.29,426.3
87,42000.0,73471.29,673.9
87,44000.0,73471.29,787.8
87,45000.0,73471.29,662.6
87,46000.0,73471.29,433.6
87,48000.0,73471.29,650.0
87,50000.0,73471.29,389.9
87,52000.0,73471.29,367.3
87,54000.0,73471.29,184.2
87,55000.0,73471.29,182.3
87,56000.0,73471.29,330.9
87,58000.0,73471.29,472.4
87,60000.0,73471.29,318.1
87,62000.0,73471.29,206.6
87,65000.0,73471.1,413.9
87,68000.0,73471.29,12.6
87,70000.0,73471.29,542.8
87,72000.0,73471.29,0.1
87,75000.0,73471.29,254.1
87,80000.0,73471.29,250.6
87,85000.0,73471.29,179.4
87,90000.0,73471.29,340.6
87,95000.0,73471.29,219.3
87,100000.0,73471.29,405.2
87,105000.0,73471.29,84.5
87,110000.0,73471.29,259.5
87,120000.0,73471.29,176.9
87,130000.0,73471.29,134.5
87,140000.0,73471.29,75.0
87,160000.0,73471.1,47.5
178,10000.0,75876.25920000001,121.7
178,15000.0,75876.25920000001,113.0
178,20000.0,75876.25920000001,67.8
178,25000.0,75876.25920000001,1427.6
178,30000.0,75876.25920000001,46.3
178,32000.0,75876.25920000001,360.6
178,34000.0,75876.25920000001,402.1
178,35000.0,75876.25920000001,595.9
178,36000.0,75876.25920000001,523.1
178,38000.0,75876.25920000001,307.4
178,40000.0,75876.25920000001,1779.8
178,42000.0,75876.25920000001,760.2
178,44000.0,75876.25920000001,621.1
178,45000.0,75876.25920000001,380.1
178,46000.0,75876.25920000001,427.4
178,48000.0,75876.25920000001,732.3
178,50000.0,75876.25920000001,507.7
178,52000.0,75876.25920000001,811.0
178,54000.0,75876.25920000001,346.3
178,55000.0,75876.25920000001,1546.6
178,56000.0,75876.25920000001,650.1
178,58000.0,75876.25920000001,144.4
178,60000.0,75876.25920000001,453.0
178,62000.0,75876.25920000001,269.0
178,64000.0,75876.25920000001,3.0
178,65000.0,75876.25920000001,163.4
178,66000.0,75876.25920000001,1.0
178,68000.0,75876.25920000001,4.1
178,70000.0,75876.25920000001,322.1
178,75000.0,75876.25920000001,323.1
178,78000.0,75876.25920000001,0.1
178,80000.0,75876.25920000001,175.8
178,82000.0,75876.25920000001,0.1
178,84000.0,75876.25920000001,12.1
178,85000.0,75876.25920000001,117.6
178,86000.0,75876.25920000001,0.1
178,90000.0,75876.25920000001,328.6
178,95000.0,75876.25920000001,57.7
178,100000.0,75876.25920000001,406.2
178,105000.0,75876.25920000001,19.2
178,110000.0,75876.25920000001,165.7
178,120000.0,75876.25920000001,74.2
178,130000.0,75876.25920000001,122.0
178,140000.0,75876.25920000001,95.5
178,150000.0,75876.25920000001,57.5
178,160000.0,75876.25920000001,40.5
178,170000.0,75876.25920000001,0.1
178,180000.0,75876.25920000001,152.7
178,190000.0,75876.25920000001,2.7
269,20000.0,75876.25920000001,35.6
269,30000.0,75876.25920000001,36.9
269,35000.0,75876.25920000001,4.0
269,40000.0,75876.25920000001,180.0
269,50000.0,75876.25920000001,426.1
269,60000.0,75876.25920000001,862.9
269,64000.0,75876.25920000001,0.5
269,68000.0,75876.25920000001,0.1
269,70000.0,75876.25920000001,792.4
269,75000.0,75876.25920000001,3.0
269,80000.0,75876.25920000001,523.3
269,85000.0,75876.25920000001,243.8
269,90000.0,75876.25920000001,274.2
269,100000.0,75876.25920000001,82.1
269,110000.0,75876.25920000001,115.3
269,120000.0,75876.25920000001,316.1
269,130000.0,75876.25920000001,261.1
269,140000.0,75876.25920000001,245.1
269,150000.0,75876.25920000001,191.6
269,160000.0,75876.25920000001,252.0
269,180000.0,75876.25920000001,186.5
269,200000.0,75876.25920000001,121.0
