days_left,strikes,prices,ois
1,56000.0,70000.0,6.0
1,58000.0,70000.0,1.52
1,60000.0,70000.0,2.09
1,61000.0,70000.0,7.5600000000000005
1,62000.0,70000.0,4.57
1,63000.0,70000.0,3.9
1,64000.0,70000.0,4.5
1,65000.0,70000.0,13.26
1,66000.0,70000.0,15.94
1,67000.0,70000.0,1.29
1,68000.0,70000.0,1.3900000000000001
1,72000.0,70000.0,0.24
1,73000.0,70000.0,0.46
1,76000.0,70000.0,1.0
8,5000.0,70000.0,138.98
8,10000.0,70000.0,59.49
8,15000.0,70000.0,61.38
8,20000.0,70000.0,191.43
8,23000.0,70000.0,83.32000000000001
8,25000.0,70000.0,72.3
8,26000.0,70000.0,15.530000000000001
8,28000.0,70000.0,45.49
8,30000.0,70000.0,91.8
8,32000.0,70000.0,105.58
8,35000.0,70000.0,195.25
8,38000.0,70000.0,111.45
8,40000.0,70000.0,121.41
8,42000.0,70000.0,67.2
8,45000.0,70000.0,145.71
8,48000.0,70000.0,126.91
8,50000.0,70000.0,222.73000000000002
8,52000.0,70000.0,87.12
8,55000.0,70000.0,178.46
8,58000.0,70000.0,138.98
8,60000.0,70000.0,280.29
8,62000.0,70000.0,64.76
8,64000.0,70000.0,38.84
8,65000.0,70000.0,181.48
8,66000.0,70000.0,49.870000000000005
8,68000.0,70000.0,53.480000000000004
8,70000.0,70000.0,273.83
8,72000.0,70000.0,37.31
8,74000.0,70000.0,4.33
8,75000.0,70000.0,51.08
8,78000.0,70000.0,8.950000000000001
8,80000.0,70000.0,84.51
8,82000.0,70000.0,0.2
8,85000.0,70000.0,27.75
8,90000.0,70000.0,6.5200000000000005
8,95000.0,70000.0,5.68
8,100000.0,70000.0,25.71
8,110000.0,70000.0,8.66
8,120000.0,70000.0,8.77
8,130000.0,70000.0,8.71
8,140000.0,70000.0,6.5
8,150000.0,70000.0,6.72
36,35000.0,70000.0,14.98
36,40000.0,70000.0,26.580000000000002
36,45000.0,70000.0,23.39
36,48000.0,70000.0,10.65
36,50000.0,70000.0,43.050000000000004
36,52000.0,70000.0,40.980000000000004
36,55000.0,70000.0,34.93
36,58000.0,70000.0,25.26
36,60000.0,70000.0,49.81
36,62000.0,70000.0,22.54
36,65000.0,70000.0,32.43
36,68000.0,70000.0,35.37
36,70000.0,70000.0,7.96
36,72000.0,70000.0,7.5200000000000005
36,75000.0,70000.0,15.610000000000001
36,78000.0,70000.0,1.33
36,80000.0,70000.0,2.23
36,85000.0,70000.0,1.1
71,35000.0,70000.0,5.57
71,40000.0,70000.0,20.12
71,45000.0,70000.0,10.14
71,50000.0,70000.0,15.040000000000001
71,52000.0,70000.0,10.63
71,54000.0,70000.0,10.58
71,56000.0,70000.0,27.150000000000002
71,58000.0,70000.0,9.540000000000001
71,60000.0,70000.0,28.490000000000002
71,62000.0,70000.0,27.78
71,64000.0,70000.0,11.97
71,66000.0,70000.0,14.94
71,68000.0,70000.0,14.02
71,70000.0,70000.0,11.18
71,72000.0,70000.0,9.120000000000001
71,74000.0,70000.0,7.68
71,76000.0,70000.0,15.18
71,78000.0,70000.0,7.29
71,80000.0,70000.0,1.29
99,5000.0,70000.0,37.93
99,10000.0,70000.0,4.88
99,15000.0,70000.0,17.61
99,20000.0,70000.0,51.59
99,25000.0,70000.0,40.93
99,30000.0,70000.0,124.33
99,32000.0,70000.0,56.97
99,35000.0,70000.0,65.93
99,38000.0,70000.0,48.38
99,40000.0,70000.0,34.32
99,42000.0,70000.0,29.650000000000002
99,45000.0,70000.0,55.800000000000004
99,48000.0,70000.0,295.41
99,50000.0,70000.0,61.46
99,52000.0,70000.0,54.58
99,55000.0,70000.0,77.16
99,60000.0,70000.0,119.27
99,65000.0,70000.0,74.69
99,70000.0,70000.0,65.34
99,75000.0,70000.0,131.44
99,80000.0,70000.0,11.33
99,85000.0,70000.0,3.56
99,90000.0,70000.0,30.12
99,100000.0,70000.0,63.03
99,110000.0,70000.0,6.44
99,120000.0,70000.0,2.65
99,140000.0,70000.0,23.81
99,200000.0,70000.0,0.01
190,15000.0,70000.0,10.75
190,20000.0,70000.0,6.67
190,25000.0,70000.0,6.22
190,30000.0,70000.0,91.21000000000001
190,35000.0,70000.0,29.580000000000002
190,40000.0,70000.0,102.78
190,45000.0,70000.0,91.76
190,50000.0,70000.0,47.29
190,55000.0,70000.0,34.62
190,60000.0,70000.0,10.44
190,65000.0,70000.0,31.240000000000002
190,70000.0,70000.0,32.1
190,75000.0,70000.0,8.870000000000001
190,80000.0,70000.0,59.86
190,85000.0,70000.0,5.01
190,90000.0,70000.0,18.17
190,100000.0,70000.0,2.21
190,110000.0,70000.0,14.870000000000001
190,120000.0,70000.0,30.11
190,140000.0,70000.0,22.85
190,160000.0,70000.0,10.39
190,180000.0,70000.0,0.1
190,200000.0,70000.0,0.01
281,10000.0,70000.0,23.27
281,20000.0,70000.0,30.330000000000002
281,30000.0,70000.0,1.05
281,40000.0,70000.0,84.26
281,45000.0,70000.0,69.41
281,50000.0,70000.0,31.560000000000002
281,55000.0,70000.0,0.85
281,60000.0,70000.0,13.06
281,70000.0,70000.0,8.3
281,80000.0,70000.0,60.38
281,90000.0,70000.0,0.33
281,100000.0,70000.0,63.93
281,110000.0,70000.0,7.59
281,120000.0,70000.0,21.5
281,130000.0,70000.0,62.5
281,140000.0,70000.0,8.84
281,150000.0,70000.0,3.3200000000000003
281,180000.0,70000.0,35.0
281,200000.0,70000.0,15.0
