strikes,ois
54000.0,0.78
56000.0,7.4
58000.0,10.31
60000.0,8.79
61000.0,7.5600000000000005
62000.0,7.670000000000001
63000.0,14.040000000000001
64000.0,11.780000000000001
65000.0,14.16
66000.0,15.94
67000.0,1.29
68000.0,27.63
68500.0,0.1
69000.0,0.1
70000.0,0.1
70500.0,0.03
72000.0,1.0
73000.0,0.46
74000.0,2.96
76000.0,1.0
78000.0,0.02
80000.0,1.24
84000.0,3.02
5000.0,138.98
10000.0,993.41
15000.0,817.58
18000.0,6.0
19000.0,61.71
20000.0,609.96
21000.0,42.03
22000.0,278.42
23000.0,131.66000000000003
24000.0,216.06
25000.0,369.02
26000.0,266.36
27000.0,35.57
28000.0,248.79000000000002
29000.0,35.14
30000.0,640.15
31000.0,41.49
32000.0,581.79
33000.0,32.129999999999995
34000.0,682.35
35000.0,768.91
36000.0,972.6400000000001
37000.0,73.49000000000001
38000.0,1516.25
39000.0,75.02
40000.0,1161.1399999999999
41000.0,114.03
42000.0,2752.88
43000.0,74.64
44000.0,1440.77
45000.0,3973.34
46000.0,1232.6899999999998
47000.0,32.330000000000005
48000.0,1368.02
49000.0,72.42999999999999
50000.0,1291.5500000000002
51000.0,146.41
52000.0,1260.64
53000.0,91.26
54000.0,503.0
55000.0,1047.6799999999998
56000.0,478.45000000000005
57000.0,115.29
58000.0,433.1
59000.0,9.82
60000.0,1786.3600000000001
61000.0,4.54
62000.0,188.78000000000003
62500.0,7.94
63000.0,10.2
63500.0,23.03
64000.0,1002.43
64500.0,21.25
65000.0,1368.01
66000.0,95.17
67000.0,3.93
68000.0,58.46
68500.0,9.91
69000.0,12.93
69500.0,1.23
70000.0,1439.02
70500.0,2.69
71000.0,2.16
71500.0,0.22
72000.0,44.4
72500.0,0.69
73000.0,5.57
74000.0,17.83
74500.0,0.01
75000.0,1521.9
75500.0,0.01
76500.0,0.03
77500.0,0.04
78000.0,11.450000000000001
78500.0,0.01
80000.0,1548.73
82000.0,0.2
85000.0,1341.72
90000.0,1340.3600000000001
95000.0,692.4499999999999
100000.0,1192.8700000000001
110000.0,742.83
120000.0,1160.28
130000.0,10.610000000000001
140000.0,285.11
150000.0,6.72
35000.0,14.98
40000.0,130.35
44000.0,28.7
45000.0,59.29
46000.0,12.49
48000.0,17.23
50000.0,308.71999999999997
52000.0,46.02
53000.0,2.8299999999999996
54000.0,74.44999999999999
55000.0,36.01
56000.0,18.74
57000.0,11.73
58000.0,67.30000000000001
59000.0,9.9
60000.0,64.84
61000.0,9.3
62000.0,44.239999999999995
62500.0,3.0
63000.0,4.2
64000.0,4.84
64500.0,1.0
65000.0,56.85
65500.0,2.95
66000.0,18.22
67000.0,17.25
67500.0,2.0
68000.0,44.47
68500.0,1.0
69000.0,6.289999999999999
70000.0,64.21
71000.0,1.3
72000.0,7.5200000000000005
73000.0,0.01
74000.0,0.3
75000.0,15.72
76000.0,1.6
78000.0,8.55
79000.0,15.0
80000.0,4.47
82000.0,13.98
85000.0,3.2
